epoch,loss,val_loss
0,2128.7613255736578,2433.299262890293
1,1828.9777252275051,2454.7894454087459
2,1711.4195294246495,1868.1749384773923
3,1673.4209590059472,1904.4947577179137
4,1634.2941468270431,2308.8098535529616
5,1605.6306687503318,2800.3909879958314
6,1589.5986414206868,2412.7264324437792
7,1574.354128776816,2474.3202079572006
8,1555.1191171858407,2641.9962117755017
9,1525.8198405017058,2787.7434179521561
10,1515.1874143329837,2530.0077068163564
11,1502.5670207500864,2662.4943623635963
12,1488.7323922649114,2760.1736045195676
13,1478.7123961728209,2697.5865664162066
14,1465.8834850794194,2696.6139607781965
15,1463.2648899334411,2734.7778424025596
16,1448.3616320562242,2736.6671631066802
17,1442.2165192350453,2691.5424725865546
18,1431.9184288212882,2734.2271872676829
19,1428.372009951479,2674.4003157441457
20,1419.9948374214271,2782.6313609315262
21,1411.1998274940095,2752.2546218703537
22,1407.7063206597315,2764.2375195810323
23,1406.59679128279,2724.1074073551667
24,1397.6396910635819,2762.4295727933172
25,1388.1752139912285,2740.9490976131056
26,1388.0363409128245,2679.9041807163339
27,1378.4385796533161,2763.8206279952342
28,1377.4605217142032,2742.3212840842716
29,1374.8004314775881,2652.8251621243098
30,1366.5775896330049,2744.0433780018716
31,1362.8249640841552,2709.9876958932932
32,1362.2078027198552,2688.9340096395099
33,1358.9608157926834,2630.0219719302581
34,1352.6007850147853,2640.5216434708873
35,1345.0538695666785,2627.1777733711237
36,1352.0763719894162,2694.1963205912807
37,1341.9145411359323,2595.1857678876049
38,1336.243359406114,2704.0315264991104
39,1336.4729504840498,2634.2586069423055
40,1333.929208034363,2636.7808625278781
41,1330.8616209589229,2544.2219801443352
42,1321.5291153252276,2599.5545427165198
43,1320.8202572727771,2530.7163811929163
44,1324.7957729446555,2614.9212915101289
45,1315.3583850585107,2636.9831078334087
46,1318.8606478708116,2650.3973447788339
47,1311.6352088429103,2648.9543309758656
48,1308.9155044750125,2584.5157869998538
49,1304.7526477434519,2486.5295241103904
50,1305.5042088848104,2534.7514819564108
51,1297.2392887190022,2470.0806823574899
52,1298.6260207442783,2530.4165229894593
53,1291.1196024075543,2611.9816716144728
54,1292.9677029125955,2475.187207529073
55,1286.3665591023589,2470.1085405244398
56,1284.2360219639443,2628.2739801269117
57,1284.8822659319908,2456.7485745672261
58,1279.0575938520537,2580.4462519332119
59,1278.7089755075303,2404.8971263590565
60,1275.3017148234223,2506.1781790967502
61,1274.4177908820425,2461.1050207094308
62,1273.8793253027593,2487.7391139624374
63,1266.555111634701,2572.4530422369503
64,1267.4387870276491,2515.716536451419
65,1257.8083816567212,2399.3521156019342
66,1259.7643936144264,2522.5432927497081
67,1266.899572847248,2577.8809687923149
68,1255.8229746077157,2530.9151803197351
69,1252.0462927546862,2330.8140876400544
70,1250.9124206698539,2444.2827911765876
71,1251.8446727872604,2409.7712097427252
72,1251.6611963886271,2223.9749709188482
73,1242.220614346591,2377.2698338848104
74,1241.1228333297379,2338.5937309167907
75,1243.9647636834909,2380.7998203481775
76,1240.6727193801607,2363.7561802633149
77,1239.3917560431546,2263.4480519776844
78,1235.4601521844468,2359.4098705204242
79,1230.7390445265207,2412.8484374170293
80,1236.9101510643452,2376.1216315023962
81,1227.0098488029021,2139.4708076677994
82,1226.7504598120056,2335.91863230638
83,1231.2491486710619,2272.3158413247729
84,1221.1466399446422,2382.410033868548
85,1216.5465134561518,2260.675133043158
86,1219.1862533686012,2251.5177368060349
87,1214.1076417467609,2213.2493533488541
88,1214.0523730904345,2263.132672487322
89,1207.3108932248799,2076.0400842814092
90,1213.4920493541579,2316.276968101171
91,1209.4883897338971,2176.1591801023524
92,1207.1924295352492,2267.4308029343338
93,1207.6979112908712,2268.1848360254489
94,1201.6045423846379,2276.8500554450206
95,1197.4346624615846,2298.3950023148764
96,1196.8217089968205,2210.9576785234244
97,1194.5536141213261,2089.7180615524771
98,1190.0829468292004,2133.6090973600453
99,1189.8577212428479,2163.9078527821662
100,1189.1150220224386,2189.9524956689411
101,1187.4098182490243,2161.4521509266142
102,1191.1288505560681,2260.7074240114898
103,1183.8634888836157,2143.172860066974
104,1185.2386814788326,2162.6342298431528
105,1177.295207137867,2178.8189423463054
106,1176.8083915613217,2169.211010928871
107,1176.7328492248068,2124.8516366548629
108,1171.4488178470324,2137.2334463529496
109,1176.4552765800067,2136.8584865936305
110,1170.7458157989061,1989.0012715225414
111,1171.0236589274573,2119.6735868883416
112,1172.0711929723177,2052.852157190885
113,1168.0479324587138,2214.8184948243015
114,1169.977930060867,2067.7845472467079
115,1162.3976899360132,2060.7079379098741
116,1158.8359141126971,2091.5717140787624
117,1155.8728867419818,2087.679298783321
118,1161.114639217406,2058.1814143230272
119,1153.3047758117002,1979.1120098311717
120,1153.0049211344885,2015.0180933716547
121,1150.9845979312972,1953.5132853362959
122,1152.8484854361923,2069.8757884269462
123,1148.4898646896738,1891.6400699275171
124,1142.6360195163154,1887.8766830561012
125,1147.7569395468815,1934.3136800475918
126,1146.1210323518478,2097.6767476486166
127,1138.7510760233579,2007.2010753181089
128,1143.679881236061,1917.3195989539083
129,1138.376652512595,1847.5631101441363
130,1138.0385566393804,1930.0861480375822
131,1135.2212660278217,1998.1597764526471
132,1132.0735305099033,1901.8819584226649
133,1133.6201008526875,1781.3270310342768
134,1129.8597445816131,1797.7172409744717
135,1128.9732946559545,2038.8388808776285
136,1126.0139595232683,1746.0017073249655
137,1120.2303468871137,1926.3034740567916
138,1126.0019685263946,1803.6969051182828
139,1117.1703196147182,1731.3267521497651
140,1121.6397469130834,1817.1595816794552
141,1116.3448293421768,1826.6287389607783
142,1117.3685140423381,1894.0813882288126
143,1112.4802396477737,1646.6667660929536
144,1114.6295166534192,1858.1578634646148
145,1111.4135585580727,1738.6000997305118
146,1109.8656615173807,1823.1555228674929
147,1108.8937065234707,1730.8536301242566
148,1107.3800445012148,1789.1802541883496
149,1103.5345982216938,1754.6668404552424
150,1104.2064742069681,1628.2589015912079
151,1102.1179184180351,1822.4229702102805
152,1099.072911550154,1725.8768696359587
153,1103.4306189473039,1749.9867996047287
154,1095.1078011537875,1794.7659747205555
155,1092.4648827979802,1757.5898206219799
156,1093.8539058973754,1663.2982323969838
157,1090.7831456160889,1661.9129394946103
158,1090.558624449076,1650.3095398208502
159,1089.7860718292004,1640.2307539610106
160,1087.5041203138276,1564.3356595489061
161,1084.0788279154995,1762.5075898279856
162,1089.4021123660857,1663.4652482310694
163,1081.8522178630456,1644.0119052261443
164,1082.2783369065951,1643.7644045043012
165,1080.7307211876725,1595.1748295786426
166,1080.5591068186795,1552.434044798249
167,1076.246203737737,1604.7686383839675
168,1076.1786303524254,1569.5917896150834
169,1077.3848387945884,1601.5655947987468
170,1073.1520972758303,1603.3378441615337
171,1073.1170353010334,1584.3887989235411
172,1069.8906043092377,1683.8678872522501
173,1070.2303724005351,1540.5440696645005
174,1063.4819259708374,1482.2713815953232
175,1071.1951915186751,1558.6002621452183
176,1059.9024613087929,1493.4722046831855
177,1064.4867981527452,1542.98673530261
178,1060.0238967415835,1500.7171930590218
179,1058.8641192518055,1595.5587528458873
180,1059.4155241805006,1511.4438435077261
181,1055.9528914899672,1517.625085355877
182,1054.6651775194814,1443.8665848232065
183,1051.8482402065799,1502.196110675977
184,1052.0288703548979,1532.2664430888913
185,1050.4602998718935,1544.9623685332811
186,1045.5652223650236,1450.7295531707996
187,1054.6676259263654,1435.6061937045322
188,1043.7660278216599,1508.9188656608433
189,1046.5796807482775,1422.4088235885893
190,1040.9243691443587,1410.1634814992433
191,1042.5398635799438,1478.831003142092
192,1044.0461996203271,1459.9323049073719
193,1037.6048082012996,1484.839432009014
194,1038.5641039748666,1505.5921557223078
195,1034.1418935148617,1468.946041499343
196,1036.1620154627926,1492.782365745473
197,1035.8752572603314,1449.7822539427571
198,1032.5203035495599,1432.1265690754103
199,1032.1518421934738,1425.3488872207213
200,1031.8141980426435,1401.5188682121855
201,1028.9376728897289,1326.7166812867558
202,1030.649471000989,1406.74797883921
203,1022.1767890819981,1395.2750332296755
204,1025.603022313665,1432.1546353945412
205,1025.2196057367446,1376.2477883182548
206,1020.3946131314883,1418.1543517392272
207,1023.395306972092,1364.0039743895031
208,1022.8044876448664,1418.4659181139484
209,1018.9769971097235,1400.1652915001725
210,1022.0833066099259,1385.0071167925605
211,1013.9681720069231,1344.885978186647
212,1012.5815635557993,1328.4866716746262
213,1014.8346579396938,1345.4855805610132
214,1012.2445476470402,1415.6765806705341
215,1008.7528524731009,1392.5697692508097
216,1015.0331960725096,1383.767560493774
217,1008.0798749510474,1348.9627215726555
218,1003.2444684102359,1367.5038377993574
219,1011.7323570024593,1326.4995757097295
220,1008.0424258638056,1400.9263885938828
221,1000.8506674559925,1361.1010000638873
222,1004.1159133846312,1396.6840319378252
223,999.52546643927224,1399.8720996633058
224,999.0423552351881,1386.6197485911614
225,1002.9705044625671,1306.4262361356334
226,996.41674114995419,1339.6956607685722
227,1000.8276542981196,1311.5357781655725
228,994.38243762901914,1328.1845329757859
229,997.4804076629872,1401.9795208123141
230,992.82442752445968,1400.7305404157485
231,993.48308501652775,1311.7216699384692
232,992.66197729637383,1319.5915218278728
233,993.36049650154985,1381.7115865884034
234,991.5528411994876,1377.6287264114937
235,990.60097527645758,1349.6870353653355
236,988.35350914293156,1320.7260328372251
237,983.90924787885979,1365.5080449210452
238,988.86023685581722,1383.1376236467515
239,987.7809562845157,1368.4794719634465
240,982.24669570080187,1378.2078012160152
241,979.51347704995158,1375.0801689776711
242,988.41599882347862,1373.2945431666346
243,977.80428535247518,1374.0640734313602
244,979.73021019325483,1342.8659882654856
245,986.06083804951345,1353.0629753689698
246,977.1430474267537,1391.6294117994803
247,977.63691025622938,1379.2261743018864
248,979.44810435279715,1363.0037442501459
249,975.24392453876715,1436.3125072599166
250,975.14557667799488,1380.3053614276896
251,976.35524001076953,1395.37462331404
252,975.97663862541151,1399.7938397325695
253,970.97678034935552,1415.470048384233
254,973.62014845699809,1383.4377019293954
255,965.40039949246955,1415.3950052188429
256,973.23254975324585,1416.2200968182483
257,968.80915203758889,1394.2470955147821
258,968.5032419157717,1418.3101938356256
259,970.47427795980582,1454.4669541040516
260,963.22916735808735,1472.5220152304753
261,965.7804191025416,1450.7962589442172
262,965.22772994645084,1410.2094861389523
263,965.30313584838973,1430.4984211755589
264,966.76482454233485,1480.5993005174039
265,958.00668882047512,1475.1390949207134
266,959.7723014786169,1427.736598505038
267,964.54554726496121,1473.9107650458661
268,958.80280277378597,1481.9072764484986
269,957.21017494947102,1484.0099860153264
270,959.2921694850354,1573.9648836795416
271,957.00274217422475,1575.0278005543257
272,956.74977997266956,1535.4992870761869
273,959.98901356816191,1536.8631843819696
274,953.99470067571156,1477.4989009523351
275,955.42177014606125,1543.1322019410113
276,954.33852161546838,1587.3174702944955
277,952.45604167150657,1549.442361395746
278,952.91137430844105,1548.4854176277413
279,956.29130197685458,1496.3809399082181
280,949.75390376088569,1577.2724987409231
281,950.39176382163669,1588.0821610987946
282,950.82183381553011,1692.7296357264231
283,946.56867440352528,1634.536238548
284,953.49199666790571,1609.8367061177451
285,945.89827295917519,1864.884015571899
286,948.38099881725589,1794.440019087358
287,944.69013892783892,1664.5957774872888
288,943.54036824786272,1783.4353072977513
289,944.81259977199716,2005.7771444652885
290,942.80113008899411,1770.0775710165044
291,944.35050929352303,1951.3388046485038
292,946.84617875325239,2049.1106675244432
293,939.24156656970183,2096.6547099642562
294,942.45505484141029,1904.586294376759
295,940.09855497582237,1874.9249583903063
296,936.98642748214479,1825.4724561874402
297,940.83364258849633,1888.4696971079811
298,941.12797838079803,1799.605046222852
299,940.11342473706657,1777.1115650057084
300,934.27003083597731,2238.8160634782221
301,937.74709494436001,2065.9133769045875
302,934.29950547522174,1829.8806390365303
303,937.71372219659361,2048.4359350212571
