epoch,loss
0,2.1835870351237445
1,0.77068823681253451
2,0.63601696045826306
3,0.59942588242499728
4,0.57541323860135418
5,0.55634249515993439
6,0.54150861694032082
7,0.52943443063565565
8,0.51767795575458719
9,0.50872947548961511
10,0.50084688696686341
11,0.4946254029586587
12,0.48915564258704369
13,0.4827902310973276
14,0.47683102933123062
15,0.47261884225451428
16,0.4671194956071027
17,0.46169438445940614
18,0.45628198471082293
19,0.45327289177752705
20,0.44801041512223688
21,0.44448759198269766
22,0.4404955425745119
23,0.43737476065997843
24,0.43312808178851137
25,0.42967746524221223
26,0.42621781063549546
27,0.42332202876391617
28,0.42024159806011163
29,0.41724156701694365
30,0.41393214140249335
31,0.41348226301615004
32,0.40968359547221789
33,0.40667211005221243
34,0.40504100550290034
35,0.40251885625817208
36,0.40123929893193039
37,0.39923551249439304
38,0.39806973484709213
39,0.39540909785453393
40,0.39367735055882647
41,0.39314696773805696
42,0.39134530777759524
43,0.38954245789057534
44,0.38806839941231452
45,0.38607913881297345
46,0.38628621146325831
47,0.38476211804410687
48,0.38307644619161019
49,0.38265674966184987
50,0.380881758507989
51,0.38093992004818888
52,0.37891714817479899
53,0.37878018188411777
54,0.37759526013194217
55,0.37715886185026687
56,0.37621624745509546
57,0.37523721352867456
58,0.37516694702208042
59,0.37404420483938378
60,0.37445518499969138
61,0.37278050212594477
62,0.37165405998087447
63,0.37184697272175032
64,0.37191302039781993
