epoch,loss,val_loss
0,2109.2287567579451,2282.5508656724592
1,1840.0657740149745,2658.3322693752657
2,1723.648800910684,2255.8600070275993
3,1669.3308362677226,2206.8895327973992
4,1635.1847605223156,1975.4725303423029
5,1611.0457072942663,2423.697496697775
6,1590.3545116855619,2360.4849209457307
7,1567.6410468011563,2434.9220876118443
8,1552.5583094724072,2470.4875336860132
9,1534.6552046757181,2604.5954772378795
10,1519.7067303264557,2542.5944996382486
11,1500.9910222833807,2678.6203777147939
12,1492.9531001088574,2512.1588005124258
13,1480.2790296582114,2611.2289580650622
14,1473.6040746904371,2641.8202815934978
15,1471.0898642851928,2675.7228296582944
16,1456.1147814080587,2721.489832590471
17,1445.3208401403695,2742.0731388892577
18,1442.3044442927928,2653.14935038266
19,1432.3287577017345,2615.3382382712934
20,1423.2257249130469,2692.4504653813988
21,1424.7370799412238,2658.9034190473662
22,1417.8870390678931,2742.2757241663126
23,1408.0120880204738,2644.7622717482213
24,1407.3092886795912,2715.6233885059341
25,1404.4154889180484,2653.5716628444934
26,1395.0017807019799,2704.6197658075353
27,1388.1608066348172,2671.310500826386
28,1389.1850156046723,2599.0250786560109
29,1383.4011597094541,2636.6910629596564
30,1376.2227312345674,2703.6168373645924
31,1372.0236588756006,2618.002199547313
32,1375.7602300003816,2685.3488410683944
33,1359.3329626973039,2623.8736019474832
34,1360.5518431165203,2736.7116925313298
35,1355.4146270103747,2720.0491102246178
36,1351.6059153385859,2627.3333139735555
37,1345.7703207659335,2740.6837130200588
38,1342.7720924967309,2634.1261476891063
39,1336.7105993434545,2632.9548860483487
40,1337.274869570412,2561.8064037442919
41,1329.9385730675347,2641.4516572522834
42,1332.4935151313257,2509.2736032335256
43,1324.9096633016607,2574.8712192428447
44,1322.3066889553022,2584.8860209682985
45,1323.3898731837762,2584.8334301322216
46,1314.7722527853189,2481.0296984521028
47,1312.3352709359401,2586.9962028561758
48,1311.0169444379912,2582.7383768734735
49,1309.6575675192989,2636.1591133111192
50,1302.9958252367978,2517.9994884870166
51,1297.921863072994,2600.5522465086024
52,1299.2414120890473,2540.1850610828642
53,1305.4104137177576,2552.635757537038
54,1295.8825357416067,2646.2942012764179
55,1287.987304220791,2524.6100192657445
56,1287.0875307924177,2463.0986794833925
57,1289.2487460049715,2405.1312879175075
58,1282.1809927292973,2464.7185670501008
59,1281.0131127058498,2450.8085066310005
60,1280.9567777233399,2435.175714666193
61,1276.7157276448499,2379.4341701873805
62,1277.0199643040271,2436.0762975752709
63,1271.8608529634564,2539.4731279371549
64,1271.9971594020483,2381.962847895205
65,1261.291958740027,2369.9628196852432
66,1267.728643243963,2419.3927214564969
67,1261.1710153740144,2268.3284072033307
68,1260.4012722381617,2423.8354365657524
69,1260.2909332768029,2367.8803333421833
70,1255.0021343636331,2388.1762977412118
71,1257.2179394303082,2425.3346294704493
72,1250.1779693370161,2409.2698741254912
73,1248.6513042336514,2268.9559316837694
74,1246.8996494393684,2297.5764154970593
75,1243.4199161707797,2379.7814146963942
76,1243.5227379033195,2315.3375951463931
77,1244.209359920116,2387.1202677789133
78,1239.7577309815076,2288.0184238015745
79,1238.2096727706662,2313.5407361182097
80,1233.4037140074076,2324.7435996574977
81,1230.3133434467429,2241.5958586946422
82,1232.6982258526875,2361.1124818294657
83,1228.4769928056301,2176.4587499834061
84,1224.074783571514,2381.8221710386574
85,1224.7877078514132,2361.6480035644117
86,1215.8132497938184,2147.8095151371335
87,1223.5951149680398,2264.5362093527638
88,1217.7226853415232,2241.246085245526
89,1217.5145478876545,2274.0340668476529
90,1212.6305002165529,2339.5424887657978
91,1214.5017677378432,2306.9999328976278
92,1215.1109590100959,2253.9725768057692
93,1206.745481272319,2205.8842045371575
94,1207.9003672376971,2186.1033496840482
95,1200.7596103146407,2139.6092492997291
96,1204.1072240422718,2237.3544695780452
97,1201.6799617692791,2214.1620017208079
98,1198.4870678586483,2233.0996719139962
