epoch,loss
0,2.2429632461745785
1,0.77795680896291197
2,0.65221040086926152
3,0.60792433219135933
4,0.58245630043857499
5,0.5665539523115698
6,0.54883696933962267
7,0.53699475160184895
8,0.5265248380966906
9,0.51781147524995619
10,0.51040405021523527
11,0.50254893010517332
12,0.49614813552712494
13,0.49167390886342749
14,0.48510051187479269
15,0.47975247491080808
16,0.47520665215996077
17,0.4718185657375264
18,0.46698320294326207
19,0.46236478400680253
20,0.45630787183653632
21,0.45404342802065722
22,0.44972440287751969
23,0.44589601818120705
24,0.44359539803468956
25,0.43901746889330306
26,0.43463777713055879
27,0.43184117238476594
28,0.42964888451234351
29,0.4270544084962809
30,0.42382629432768193
31,0.42129515492691183
32,0.418279816991878
33,0.41613622417989765
34,0.41411467174314104
35,0.41103052395694661
36,0.40892904776447225
37,0.40744025531804784
38,0.40471231824946852
39,0.40301333294724517
40,0.40079854002538717
41,0.39937136132762119
42,0.39768374240623328
43,0.39590833922602098
44,0.39462980702238265
45,0.39274253447100799
46,0.39147955905716375
47,0.39027555735606068
48,0.38901028250748254
49,0.38761559693318492
50,0.38624125952990551
51,0.38512580657905005
52,0.38437475478874061
53,0.38314200003192111
54,0.38168292580910451
